farm_id,lat,lon,crop_type,area_hectares
farm_000,40.24835707650561,-95.0691321505856,wheat,392.04859013365694
farm_001,39.40109678672302,-93.92917078389168,wheat,38.460969962417735
farm_002,40.13952064610007,-94.49474235759672,wheat,20.0864022049432
farm_003,39.70956093298824,-95.26258490358909,corn,312.5659397175811
farm_004,40.01111091330599,-95.21389645680168,wheat,78.3519917195005
farm_005,39.545987962239394,-95.70615185066764,soybean,54.3971529210822
farm_006,39.2618351534227,-94.2565095209764,corn,32.760702232798884
farm_007,39.42450321128885,-94.81215099082716,wheat,16.4998309683346
farm_008,40.04756289215857,-94.66767282862509,soybean,159.26074689495164
farm_009,40.14551700063109,-95.31777987013731,wheat,344.7991242244745
farm_010,40.56511409694852,-94.81344054263528,wheat,455.5669970186032
farm_011,40.41127245605159,-95.61042182498552,soybean,218.3263785007099
farm_012,40.16149989863915,-95.69670847043636,corn,485.0964676046337
farm_013,40.10931915802693,-94.5591194805257,wheat,53.36132600544055
farm_014,39.49545732856745,-95.79164710676844,soybean,274.4491448706491
farm_015,40.23040815007432,-94.9570382641846,corn,79.0528702376337
farm_016,40.29106139735652,-94.55612577020332,wheat,397.1860148602908
farm_017,40.34922012960548,-94.9131989681676,soybean,66.77583916731356
farm_018,40.165631715701785,-94.51222743643882,soybean,56.750957080301546
farm_019,40.7344706427162,-95.56194916727,corn,367.5070273856514
farm_020,40.417397709615216,-94.85171930783552,corn,197.63416862935705
farm_021,39.53311857954397,-94.60789590617304,soybean,251.95984221855147
farm_022,38.69012744795513,-94.58904874781238,soybean,225.27488591422733
farm_023,40.0752445390553,-95.0567106256732,corn,164.03443072740006
farm_024,40.451766245312925,-94.99049983446892,wheat,306.1645158461304
farm_025,39.29070176849222,-94.9048315075174,corn,47.720155816108566
farm_026,39.5957531985534,-95.25087852179227,soybean,315.9334835855587
farm_027,39.694838991326336,-95.15808294840488,soybean,442.8073268702455
farm_028,39.61297853462675,-95.179889072646,corn,165.8217027362133
farm_029,39.87168490865372,-95.18391286206638,soybean,10.254984727704752
farm_030,39.3253050133835,-95.50953639268404,soybean,260.2661782630072
farm_031,39.29231462897479,-95.21032266138268,wheat,142.01204356127553
farm_032,39.66696968988479,-95.25689374575413,corn,207.87972381844
farm_033,39.99225832999411,-95.01368822279258,soybean,351.1890936914963
farm_034,39.62083643974088,-94.77129217564044,corn,140.72269699488965
farm_035,39.96781097459952,-94.82754883247765,wheat,146.5367674759396
farm_036,39.90381951760944,-94.8492263288332,soybean,270.15794582539684
farm_037,40.98251738196273,-95.96995560930162,wheat,339.3464182288805
farm_038,39.61233194702153,-94.61342957205538,wheat,403.53848062614895
farm_039,40.17807991519469,-95.01094043716938,soybean,272.52959519663165
farm_040,39.504731837434655,-95.2831488648014,corn,430.5958143587228
farm_041,39.45162385071141,-95.34115078196014,soybean,260.9255985666477
farm_042,40.32454336631455,-95.61143676833764,corn,348.5594916702084
farm_043,40.31027410798087,-95.08046868843154,corn,341.0881573492476
farm_044,39.581209304118445,-94.66140696720896,wheat,439.8962831566807
farm_045,40.40675860868483,-95.61543215821698,soybean,491.26248823142345
farm_046,39.14473521073749,-94.940510754052,corn,55.62035622489061
farm_047,39.2799792761581,-94.40463637194318,wheat,353.17533668665794
farm_048,40.05435589981369,-94.94711817648611,soybean,392.1390174702357
farm_049,39.65998763921076,-94.8838731514195,soybean,337.80424480997203
farm_050,39.075098531417886,-94.41568437827472,corn,335.11586686294737
farm_051,40.932887255572375,-94.76308353954413,corn,119.89196163567428
farm_052,39.51265916488634,-94.60645769812878,corn,97.62312751845111
farm_053,40.67158410614839,-95.36727382497376,wheat,332.23031722716826
farm_054,39.56617945501032,-94.92706907378584,wheat,321.80298291108875
farm_055,40.26980460079183,-95.74914781868596,soybean,202.6178850867126
farm_056,40.138345399665006,-94.586408375482,soybean,181.53841977039107
farm_057,40.68221672366016,-94.4139855480978,corn,105.6690640210418
farm_058,39.51849218696694,-94.51140999959348,wheat,386.5914670100914
farm_059,39.10837446891724,-95.12156723020352,soybean,191.37776312516772
farm_060,40.23661881228677,-95.03641445632844,wheat,490.3624760208624
farm_061,39.89127151154799,-95.23762867420024,wheat,141.55267987617685
farm_062,38.840965875906086,-95.13400917592143,soybean,468.7158393387827
farm_063,40.315037469300506,-94.11853126384838,soybean,311.35354108259315
farm_064,40.52871175443119,-94.97431957026018,corn,425.8481995130905
farm_065,40.2093197345863,-95.36408962468168,wheat,153.86000368960174
farm_066,40.25751763360433,-94.74310702454387,corn,309.64171832418344
farm_067,39.40836718927279,-94.75250217290416,soybean,399.93840802368953
farm_068,39.84236537767983,-94.62051538975336,soybean,56.05115052202581
farm_069,39.757318226085445,-94.95906293030684,corn,85.97039219659466
farm_070,39.79361919340494,-94.70217817409784,soybean,413.0742747232325
farm_071,39.55343986318539,-95.16740862369736,corn,415.6558118559184
farm_072,40.60519931656832,-95.07561798274612,soybean,274.9112095889522
farm_073,40.68171774547585,-94.58561701119756,corn,485.0730648859379
farm_074,39.34604285016531,-95.99529977478868,soybean,48.44362685771032
farm_075,40.25249363949023,-94.56712240291492,corn,38.51486179913736
farm_076,39.94226329503813,-94.58414571151208,soybean,55.99791213983296
farm_077,40.135530874371135,-93.87759669699471,wheat,223.47972035216665
farm_078,39.40821341602773,-94.8855147838848,soybean,17.052809428580375
farm_079,39.881304019396666,-94.06399715976384,soybean,384.04856727191634
farm_080,39.72537354631785,-94.45160187277928,soybean,222.5873081266068
farm_081,40.81620565196582,-95.71507068898032,corn,444.4733897760433
farm_082,40.00090680559734,-94.62203235910415,corn,345.14224700508913
farm_083,40.28388418387881,-94.92590913431044,soybean,22.99054216539469
farm_084,40.323581348393525,-94.93695258608798,soybean,290.9498504192473
farm_085,40.11349215060967,-95.13548113108386,wheat,471.3177563004973
farm_086,40.21966357005172,-95.05424894428177,soybean,111.27533633960525
farm_087,39.55846067076023,-95.34968902419824,soybean,18.928694569259367
farm_088,40.14049593386752,-95.3113497599103,corn,331.30409133656366
farm_089,40.777461338318304,-95.49060016761878,soybean,409.0895564685785
